FILE_NAME,FILE_PATH,ROAD_NAME,B,L,H,HEADING
abc123 - ธฑฑพ (2).jpg,QuicklyBatch-processHDI2CSV\ศซพฐำฐฯ๑\20250819_1ฃจน์ผฃฃฉ\20250819_1-1(ยฌนตวลยทฃฉ\CCD\abc123 - ธฑฑพ (2).jpg,ยฌนตวลยท,30.6106774100,114.3001682368,10.266,-151.7638
abc123 - ธฑฑพ (3).jpg,QuicklyBatch-processHDI2CSV\ศซพฐำฐฯ๑\20250819_1ฃจน์ผฃฃฉ\20250819_1-1(ยฌนตวลยทฃฉ\CCD\abc123 - ธฑฑพ (3).jpg,ยฌนตวลยท,30.6105581505,114.3000927020,10.315,-150.5323
abc123 - ธฑฑพ (4).jpg,QuicklyBatch-processHDI2CSV\ศซพฐำฐฯ๑\20250819_1ฃจน์ผฃฃฉ\20250819_1-1(ยฌนตวลยทฃฉ\CCD\abc123 - ธฑฑพ (4).jpg,ยฌนตวลยท,30.6104402678,114.3000143436,10.245,-149.3253
abc123 - ธฑฑพ (5).jpg,QuicklyBatch-processHDI2CSV\ศซพฐำฐฯ๑\20250819_1ฃจน์ผฃฃฉ\20250819_1-1(ยฌนตวลยทฃฉ\CCD\abc123 - ธฑฑพ (5).jpg,ยฌนตวลยท,30.6103236812,114.2999333923,10.145,-148.5854
abc123 - ธฑฑพ (6).jpg,QuicklyBatch-processHDI2CSV\ศซพฐำฐฯ๑\20250819_1ฃจน์ผฃฃฉ\20250819_1-1(ยฌนตวลยทฃฉ\CCD\abc123 - ธฑฑพ (6).jpg,ยฌนตวลยท,30.6102078682,114.2998514954,10.025,-148.3201
abc123 - ธฑฑพ.jpg,QuicklyBatch-processHDI2CSV\ศซพฐำฐฯ๑\20250819_1ฃจน์ผฃฃฉ\20250819_1-1(ยฌนตวลยทฃฉ\CCD\abc123 - ธฑฑพ.jpg,ยฌนตวลยท,30.6100919871,114.2997698189,9.931,-148.8098
abc123.jpg,QuicklyBatch-processHDI2CSV\ศซพฐำฐฯ๑\20250819_1ฃจน์ผฃฃฉ\20250819_1-1(ยฌนตวลยทฃฉ\CCD\abc123.jpg,ยฌนตวลยท,30.6099754657,114.2996891656,9.869,-149.2612
,,ยฌนตวลยท,30.6098585481,114.2996094565,9.810,-149.4904
,,ยฌนตวลยท,30.6097414021,114.2995295053,9.782,-149.1910
,,ยฌนตวลยท,30.6096248324,114.2994488748,9.765,-148.9219
,,ยฌนตวลยท,30.6095082987,114.2993681191,9.795,-149.0917
,,ยฌนตวลยท,30.6093915725,114.2992879397,9.815,-149.3082
,,ยฌนตวลยท,30.6092745847,114.2992079800,9.848,-149.2460
,,ยฌนตวลยท,30.6091577823,114.2991277866,9.873,-149.0286
,,ยฌนตวลยท,30.6090412917,114.2990470051,9.891,-148.8476
,,ยฌนตวลยท,30.6089249712,114.2989658248,9.920,-148.7580
,,ยฌนตวลยท,30.6088087276,114.2988845588,9.956,-148.7910
,,ยฌนตวลยท,30.6086923780,114.2988036781,9.979,-148.9614
,,ยฌนตวลยท,30.6085756517,114.2987232441,10.008,-149.2283
,,ยฌนตวลยท,30.6084587999,114.2986432935,10.037,-149.3259
,,ยฌนตวลยท,30.6083418686,114.2985634177,10.061,-149.3155
,,ยฌนตวลยท,30.6082249857,114.2984834930,10.081,-149.2770
,,ยฌนตวลยท,30.6081080269,114.2984036513,10.104,-149.4159
,,ยฌนตวลยท,30.6079909475,114.2983241024,10.134,-149.5363
,,ยฌนตวลยท,30.6078735741,114.2982451331,10.163,-149.7495
,,ยฌนตวลยท,30.6077559500,114.2981660626,10.192,-149.3258
,,ยฌนตวลยท,30.6076395804,114.2980859764,10.293,-148.9175
,,ยฌนตวลยท,30.6075233974,114.2980056188,10.677,-149.0189
,,ยฌนตวลยท,30.6074064779,114.2979249008,11.194,-149.0455
,,ยฌนตวลยท,30.6072898584,114.2978445035,11.686,-149.1100
,,ยฌนตวลยท,30.6071733064,114.2977644778,12.179,-149.2290
,,ยฌนตวลยท,30.6070561484,114.2976843943,12.684,-149.2881
,,ยฌนตวลยท,30.6069394773,114.2976047718,13.226,-149.2970
,,ยฌนตวลยท,30.6068223328,114.2975247751,13.881,-149.2627
,,ยฌนตวลยท,30.6067053452,114.2974445980,14.368,-149.1841
,,ยฌนตวลยท,30.6065887367,114.2973645839,14.892,-149.1956
,,ยฌนตวลยท,30.6064719512,114.2972845935,15.420,-149.2726
,,ยฌนตวลยท,30.6063550193,114.2972044985,15.947,-149.1336
,,ยฌนตวลยท,30.6062382710,114.2971239476,16.476,-149.0391
,,ยฌนตวลยท,30.6061215330,114.2970435090,16.974,-149.1195
,,ยฌนตวลยท,30.6060045089,114.2969631168,17.408,-149.1139
,,ยฌนตวลยท,30.6058878439,114.2968821074,17.716,-148.6213
,,ยฌนตวลยท,30.6057717764,114.2967994100,17.896,-147.7824
,,ยฌนตวลยท,30.6056573214,114.2967151760,17.974,-147.0599
,,ยฌนตวลยท,30.6055431851,114.2966293147,18.004,-146.5582
,,ยฌนตวลยท,30.6054296739,114.2965425301,18.005,-146.1984
,,ยฌนตวลยท,30.6053165126,114.2964547841,17.965,-145.8444
,,ยฌนตวลยท,30.6052041426,114.2963661889,17.911,-145.3834
,,ยฌนตวลยท,30.6050924492,114.2962764355,17.891,-144.7054
,,ยฌนตวลยท,30.6049817617,114.2961851911,17.880,-143.9915
,,ยฌนตวลยท,30.6048718594,114.2960921205,17.835,-143.2360
,,ยฌนตวลยท,30.6047633333,114.2959976187,17.807,-142.5562
,,ยฌนตวลยท,30.6046554198,114.2959017096,17.798,-141.9597
,,ยฌนตวลยท,30.6045484676,114.2958045509,17.772,-141.4597
,,ยฌนตวลยท,30.6044424491,114.2957062326,17.720,-140.9273
,,ยฌนตวลยท,30.6043371143,114.2956067936,17.707,-140.3713
,,ยฌนตวลยท,30.6042324894,114.2955059862,17.674,-139.7831
,,ยฌนตวลยท,30.6041288812,114.2954041604,17.616,-139.2916
,,ยฌนตวลยท,30.6040258832,114.2953015401,17.569,-138.8705
,,ยฌนตวลยท,30.6039235956,114.2951976260,17.554,-138.2472
,,ยฌนตวลยท,30.6038225709,114.2950923273,17.513,-137.4934
,,ยฌนตวลยท,30.6037227815,114.2949858106,17.461,-136.9253
,,ยฌนตวลยท,30.6036235140,114.2948778216,17.436,-136.3484
,,ยฌนตวลยท,30.6035255071,114.2947690346,17.322,-135.6929
,,ยฌนตวลยท,30.6034283528,114.2946590866,17.369,-135.0521
,,ยฌนตวลยท,30.6033321969,114.2945475732,17.396,-134.5510
,,ยฌนตวลยท,30.6032368966,114.2944354506,17.371,-134.3182
,,ยฌนตวลยท,30.6031420337,114.2943230286,17.326,-134.1434
,,ยฌนตวลยท,30.6030471361,114.2942103294,17.277,-134.0980
,,ยฌนตวลยท,30.6029523843,114.2940977652,17.221,-134.1661
,,ยฌนตวลยท,30.6028573928,114.2939854545,17.146,-134.2587
,,ยฌนตวลยท,30.6027625740,114.2938731634,17.085,-134.2755
,,ยฌนตวลยท,30.6026674635,114.2937607703,17.200,-134.2619
,,ยฌนตวลยท,30.6025722958,114.2936480537,17.238,-134.1851
,,ยฌนตวลยท,30.6024775517,114.2935355643,17.204,-134.0450
,,ยฌนตวลยท,30.6023829369,114.2934227361,17.191,-133.9966
,,ยฌนตวลยท,30.6022882920,114.2933099167,17.155,-134.0051
,,ยฌนตวลยท,30.6021935235,114.2931969034,17.045,-134.0096
,,ยฌนตวลยท,30.6020987545,114.2930839277,16.841,-134.0123
,,ยฌนตวลยท,30.6020042417,114.2929710774,16.557,-133.9457
,,ยฌนตวลยท,30.6019095205,114.2928578342,16.233,-133.9406
,,ยฌนตวลยท,30.6018149105,114.2927447811,15.778,-133.9760
,,ยฌนตวลยท,30.6017203650,114.2926320100,15.231,-134.0404
,,ยฌนตวลยท,30.6016258801,114.2925194138,14.699,-134.0737
,,ยฌนตวลยท,30.6015311467,114.2924068121,14.176,-134.0960
,,ยฌนตวลยท,30.6014363901,114.2922942106,13.683,-134.1236
,,ยฌนตวลยท,30.6013416941,114.2921816474,13.173,-134.1514
,,ยฌนตวลยท,30.6012464695,114.2920687447,12.558,-134.1959
,,ยฌนตวลยท,30.6011518941,114.2919569076,11.940,-134.2546
,,ยฌนตวลยท,30.6010568051,114.2918446007,11.453,-134.2918
,,ยฌนตวลยท,30.6009618472,114.2917323057,10.963,-134.1899
,,ยฌนตวลยท,30.6008671927,114.2916198620,10.534,-134.0395
,,ยฌนตวลยท,30.6007727763,114.2915071109,10.235,-133.9299
,,ยฌนตวลยท,30.6006785596,114.2913940816,10.127,-133.8304
,,ยฌนตวลยท,30.6005841875,114.2912806034,10.108,-133.6784
,,ยฌนตวลยท,30.6004902503,114.2911672469,10.118,-133.7539
,,ยฌนตวลยท,30.6003958270,114.2910541244,10.109,-133.8961
,,ยฌนตวลยท,30.6003015515,114.2909408791,10.101,-133.6102
